State,County,Deaths,Food Environment Index,National Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,National Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),% Adults with Diabetes,95% CI - Low,95% CI - High,% Adults with Obesity,95% CI - Low,95% CI - High,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Food Insecure,% Food Insecure,Segregation Index,Population,Population Size,,,,,Population,
Arizona,Pima,16919,7.5,-0.02,18,15,21,-0.14,41,17,24,23,11,10,9,12,33,29,37,87525,9,146200,14,43,1063162,Large,,,,,,
Arizona,Maricopa,59971,8.3,-0.7,14,13,15,-0.63,21,9,26,22,7,10,9,12,33,29,36,210290,6,530930,12,48,4585871,Large,,,,,,
Arkansas,Nevada,183,3.9,3,31,20,42,1.48,,,66,,42,15,13,17,42,33,50,2462,27,1780,22,7,8120,Small,,,,,,
Arkansas,Dallas,179,5.1,2.03,27,16,38,0.97,,,20,,14,14,13,16,44,36,53,2174,27,1080,17,50,6185,Small,,,,,,
Arkansas,Calhoun,138,5.3,1.86,18,11,25,-0.15,,,9,41,9,13,11,15,39,31,47,1325,25,780,16,18,4641,Small,,,,,,
Arkansas,Arkansas,525,5.1,2.03,23,14,32,0.5,,,34,2,9,14,12,16,41,34,49,4500,24,3060,18,39,16307,Small,,,,,,
Arkansas,Scott,279,5.1,2.03,27,16,37,0.94,,,,,,13,11,15,38,30,47,2338,21,1930,20,,9851,Small,,,,,,
Arkansas,Lee,259,4.8,2.28,46,29,63,3,,,59,39,11,18,15,20,45,36,53,2115,20,1810,21,58,8201,Small,,,,,,
Arkansas,St. Francis,576,4.9,2.2,46,33,59,3.28,,,43,42,31,17,15,19,45,38,51,5453,19,4840,21,47,22101,Small,,,,,,
Arkansas,Phillips,527,4.6,2.46,45,30,61,3,,,54,0,18,18,16,20,51,44,58,4120,19,3630,22,36,14961,Small,,,,,,
Arkansas,Ouachita,618,5.5,1.69,25,16,35,0.78,,,29,13,22,14,13,16,43,35,50,4741,18,4180,19,27,21793,Small,,,,,,
Arkansas,Sharp,456,5.3,1.86,25,15,35,0.79,,,38,74,19,12,11,14,38,31,46,3107,18,3460,20,,17968,Small,,,,,,
Arkansas,Lincoln,263,5.9,1.35,25,16,34,0.71,,,69,8,25,15,13,17,40,32,48,2474,18,2230,17,55,12898,Small,,,,,,
Arkansas,Polk,470,5.4,1.77,26,17,35,0.89,20,,,54,29,13,11,14,37,30,44,3501,17,3830,20,,19436,Small,,,,,,
Arkansas,Lawrence,402,5.2,1.94,25,15,34,0.68,,,,9,27,13,11,15,42,34,49,2928,17,3390,21,,16318,Small,,,,,,
Arkansas,Desha,286,5.2,1.94,36,23,48,2.05,,,62,40,12,18,16,20,45,37,53,2161,17,2320,21,28,10479,Small,,,,,,
Arkansas,Howard,279,5.9,1.35,23,14,31,0.43,,,43,34,12,13,11,15,40,32,48,2223,16,2300,18,44,12533,Small,,,,,,
Arkansas,Hempstead,417,5.6,1.6,26,15,36,0.84,,,43,30,5,15,13,17,41,34,49,3642,16,3870,19,30,19343,Small,,,,,,
Arkansas,Chicot,304,5.2,1.94,37,23,51,2.25,,,39,,14,17,15,20,45,37,53,1900,16,2170,21,58,9538,Small,,,,,,
Arkansas,Monroe,203,5.5,1.69,38,25,52,2.36,,,64,,3,16,14,18,43,35,52,1221,15,1380,20,27,6512,Small,,,,,,
Arkansas,Searcy,183,4.6,2.46,28,18,39,1.12,,,,16,43,14,12,16,41,33,49,1200,15,1930,25,,7806,Small,,,,,,
Arkansas,Cross,406,5.7,1.52,25,16,35,0.79,,,54,19,16,14,12,16,39,31,46,2600,15,3280,20,63,16420,Small,,,,,,
Arkansas,Jackson,442,5.3,1.86,32,23,41,1.6,,,43,84,29,14,13,16,41,33,48,2568,14,3620,22,50,16784,Small,,,,,,
Arkansas,Sevier,321,5.7,1.52,24,16,33,0.65,37,64,37,25,25,14,13,16,42,34,50,2285,13,3170,20,28,15632,Small,,,,,,
Arkansas,Johnson,534,5.5,1.69,20,12,27,0.07,,23,50,31,25,14,12,16,39,31,47,3404,13,5510,21,34,26129,Small,,,,,,
Arkansas,Crawford,1299,5.9,1.35,18,12,25,-0.09,10,85,,26,28,13,11,14,40,33,47,8168,13,11670,19,59,61891,Small,,,,,,
Arkansas,Pulaski,7409,6.6,0.75,24,20,28,0.58,38,4,40,26,10,13,11,14,38,34,43,49304,13,65010,16,49,400009,Large,,,,,,
Arkansas,Grant,386,6.4,0.92,14,8,19,-0.67,,,45,,14,11,10,13,36,28,43,2225,12,3150,18,23,18383,Small,,,,,,
Arkansas,Miller,1003,6,1.26,27,19,35,1.02,,,46,14,14,14,12,16,44,36,51,5323,12,8210,19,56,42415,Small,,,,,,
Arkansas,Union,961,6.4,0.92,24,16,32,0.62,,,32,43,14,14,12,15,41,34,48,5081,12,6750,17,42,37397,Small,,,,,,
Arkansas,Faulkner,1783,6.6,0.75,15,11,19,-0.45,,,33,26,10,12,10,14,38,32,44,13493,12,20640,17,42,129951,Large,,,,,,
Arkansas,Lafayette,182,6.1,1.18,31,19,42,1.43,,,63,,24,16,14,18,43,35,51,868,11,1220,19,19,6095,Small,,,,,,
Arkansas,Newton,193,6.6,0.75,27,16,38,1,,,,,,12,11,14,40,32,48,946,11,1240,17,,7071,Small,,,,,,
Arkansas,Hot Spring,821,5.8,1.43,22,14,29,0.33,,,25,32,21,13,11,15,39,32,46,3692,11,6770,20,73,33258,Small,,,,,,
Arkansas,Madison,346,6.3,1.01,21,12,29,0.18,,,,20,26,13,11,14,36,29,44,1727,11,3080,18,,17775,Small,,,,,,
Arkansas,Stone,299,5.3,1.86,26,16,37,0.9,,,,88,25,13,11,15,37,30,45,1344,11,2860,23,,12671,Small,,,,,,
Arkansas,Clark,437,6.2,1.09,20,12,29,0.17,,,48,28,12,14,13,16,40,33,48,2462,11,4070,19,23,21274,Small,,,,,,
Arkansas,Garland,2438,6.1,1.18,29,24,35,1.28,3,,50,26,16,12,10,13,38,32,44,10230,11,19560,20,45,99784,Small,,,,,,
Arkansas,Crittenden,1180,6.7,0.66,29,19,40,1.27,,,42,26,12,16,14,18,42,35,49,5407,11,8170,17,50,47139,Small,,,,,,
Arkansas,Jefferson,1683,6.7,0.66,32,22,42,1.6,,,35,22,12,15,13,17,45,38,51,8213,11,11390,17,64,63661,Small,,,,,,
Arkansas,Montgomery,231,5.7,1.52,28,18,39,1.16,73,,,64,21,13,11,15,40,32,48,1000,11,1850,22,,8620,Small,,,,,,
Arkansas,Poinsett,675,5.7,1.52,27,17,37,1,76,,34,8,28,14,12,16,41,33,49,2538,10,4970,22,30,22397,Small,,,,,,
Arkansas,Bradley,246,6.4,0.92,29,19,38,1.2,7,,49,28,14,15,13,17,42,34,50,1175,10,1900,18,18,10104,Small,,,,,,
Arkansas,Conway,445,5.8,1.43,23,16,30,0.49,,,67,7,30,14,12,16,41,33,50,2074,10,4370,21,34,21077,Small,,,,,,
Arkansas,Ashley,472,5.8,1.43,25,15,35,0.76,,,44,29,23,15,13,17,42,35,50,2064,9,4080,21,29,18262,Small,,,,,,
Arkansas,Randolph,404,6,1.26,24,16,31,0.57,,41,,78,29,13,11,15,37,30,45,1685,9,3820,21,59,18907,Small,,,,,,
Arkansas,Pike,242,6.1,1.18,27,17,37,1.01,,,76,16,19,12,11,14,37,29,46,1058,9,2050,20,56,10208,Small,,,,,,
Arkansas,Pope,1072,6.3,1.01,16,10,22,-0.37,,,8,25,20,13,11,15,36,30,43,5787,9,12180,19,46,64593,Small,,,,,,
Arkansas,Drew,379,6.5,0.83,28,19,36,1.08,,,45,68,20,14,12,16,42,35,50,1703,9,3220,19,34,16945,Small,,,,,,
Arkansas,Craighead,1781,6.4,0.92,23,17,29,0.5,,10,50,40,17,12,11,14,38,31,44,8798,9,20760,19,45,113993,Large,,,,,,
Arkansas,White,1562,6.4,0.92,20,14,25,0.07,,,32,26,18,13,11,14,40,34,47,7029,9,14420,19,59,78452,Small,,,,,,
Arkansas,Mississippi,1152,6.1,1.18,31,23,40,1.49,,73,47,18,12,16,14,18,43,36,51,4181,9,8100,20,55,38663,Small,,,,,,
Arkansas,Boone,760,6.6,0.75,19,12,26,-0.04,,,,44,11,11,10,13,39,32,47,3259,9,6830,18,,38530,Small,,,,,,
Arkansas,Columbia,499,6.4,0.92,28,19,36,1.08,,,64,,19,14,13,16,41,34,49,2114,9,4340,19,41,22150,Small,,,,,,
Arkansas,Logan,560,6.4,0.92,23,15,30,0.43,32,,,14,15,12,11,14,38,30,46,1922,9,4080,19,66,21400,Small,,,,,,
Arkansas,Yell,406,6.7,0.66,23,15,31,0.49,,,4,10,19,14,12,16,39,31,47,1726,8,3660,18,58,20044,Small,,,,,,
Arkansas,Saline,2141,7.4,0.07,12,8,16,-0.85,,,12,15,11,11,9,12,37,31,44,8233,8,18430,15,44,129574,Large,,,,,,
